GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
libraryERP,library.repository.memory,InMemoryBookRepository,156,23,17,1,41,6,14,3,5,3
libraryERP,library.repository.memory,InMemoryBookTicketRepository,87,0,4,0,24,0,7,0,5,0
libraryERP,library.repository.memory,InMemoryUserRepository,106,0,10,0,29,0,11,0,6,0
libraryERP,library.domain,BookTicket.BookTicketBuilder,46,0,0,0,1,0,7,0,7,0
libraryERP,library.domain,Book,114,31,8,0,8,2,21,3,17,3
libraryERP,library.domain,BookTicket,110,0,8,0,7,0,18,0,14,0
libraryERP,library.domain,User.Type,0,21,0,0,0,4,0,1,0,1
libraryERP,library.domain,User,64,44,8,0,1,7,10,8,6,8
libraryERP,library.domain,User.UserBuilder,11,35,0,0,0,1,1,6,1,6
libraryERP,library.domain,Book.BookBuilder,46,26,0,0,0,1,7,3,7,3
libraryERP,library,Terminal,33,0,0,0,10,0,4,0,4,0
libraryERP,library,Launcher,807,0,89,0,180,0,61,0,8,0
libraryERP,library.service,UserService,62,38,9,1,16,11,7,3,2,3
libraryERP,library.service,LibraryService,183,13,10,0,47,2,11,2,6,2
libraryERP,library.repository,DynamicArray,199,47,28,2,38,10,23,5,9,4
libraryERP,library.repository,DynamicArray.DynamicArrayIterator,0,28,0,2,0,3,0,4,0,3
